latitude,longitude,time,crime_type,severity,district
12.923265672142634,77.6273474213963,2025-06-07T04:00:00,assault,1,Downtown
12.921447849902528,77.61838199909651,2025-05-13T03:00:00,theft,2,Downtown
12.938893145787631,77.6023915416903,2025-04-12T09:00:00,theft,1,Downtown
12.934061462148799,77.59770632174363,2025-01-20T18:00:00,burglary,1,Downtown
12.921333758068162,77.6140639447065,2025-03-21T03:00:00,assault,1,Downtown
12.916457516259,77.61243392430116,2025-05-01T08:00:00,theft,3,Downtown
12.937274697692596,77.6026278482945,2025-04-19T20:00:00,theft,1,Downtown
12.923512819770096,77.6139033784414,2025-01-02T10:00:00,vandalism,1,Downtown
12.941534322105555,77.60067031394304,2025-06-10T03:00:00,theft,3,Downtown
12.935222567191566,77.59869853892363,2025-02-11T11:00:00,assault,3,Downtown
12.943828330938073,77.5961181641184,2025-01-15T01:00:00,assault,1,Downtown
12.929895728536922,77.6088343146806,2025-03-27T22:00:00,theft,1,Downtown
12.937007132058431,77.61760942119696,2025-03-04T07:00:00,theft,1,Downtown
12.913701944261094,77.61505359591226,2025-05-29T09:00:00,theft,1,Downtown
12.912109350432257,77.62259397133461,2025-05-10T08:00:00,theft,1,Downtown
12.929504465036135,77.60424670139135,2025-03-07T10:00:00,assault,1,Downtown
12.938533319071903,77.58683001851766,2025-01-21T22:00:00,robbery,1,Downtown
12.94032460522978,77.61497370170318,2025-03-03T20:00:00,theft,2,Downtown
12.929456199933234,77.60982812224606,2025-03-15T05:00:00,theft,2,Downtown
12.921040104522776,77.62776146944414,2025-03-13T18:00:00,burglary,2,Downtown
12.93458357882299,77.58897909936016,2025-04-23T05:00:00,assault,1,Downtown
12.936187170527273,77.6025598504423,2025-03-26T22:00:00,robbery,1,Downtown
12.931682716747039,77.60633838081226,2025-04-22T11:00:00,theft,1,Downtown
12.934409160377456,77.5981931033751,2025-06-06T04:00:00,burglary,1,Downtown
12.920720689395718,77.62362484279784,2025-03-04T07:00:00,burglary,1,Downtown
12.93458909961442,77.61463876699868,2025-05-25T01:00:00,burglary,1,Downtown
12.939103090187686,77.60941874650902,2025-02-05T14:00:00,theft,3,Downtown
12.912707089375681,77.61856436908747,2025-04-26T17:00:00,vandalism,1,Downtown
12.920610089993597,77.62783852962868,2025-02-01T22:00:00,robbery,1,Downtown
12.933009707174365,77.59340172006522,2025-01-26T08:00:00,theft,1,Downtown
12.9306659685631,77.61751394153718,2025-02-27T01:00:00,assault,1,Downtown
12.918635780900008,77.61649416532254,2025-04-10T09:00:00,robbery,2,Downtown
12.93720133330623,77.60871704522472,2025-06-19T05:00:00,burglary,1,Downtown
12.93112040507058,77.59406845292321,2025-03-27T09:00:00,vandalism,3,Downtown
12.928770566190357,77.60375543242844,2025-03-27T16:00:00,theft,2,Downtown
12.913119360886903,77.6247072291146,2025-03-12T16:00:00,burglary,1,Downtown
12.933558202221667,77.59142231514896,2025-05-13T15:00:00,theft,2,Downtown
12.932863607159007,77.61461285737715,2025-06-07T09:00:00,burglary,2,Downtown
12.938254345459942,77.61052822696332,2025-02-24T04:00:00,theft,1,Downtown
12.917270938340776,77.62714600056078,2025-04-24T23:00:00,theft,1,Downtown
12.916191250635622,77.61758722745695,2025-05-24T04:00:00,assault,3,Downtown
12.911969373647054,77.61986692560575,2025-02-09T23:00:00,robbery,1,Downtown
12.920792519990833,77.61323264778049,2025-01-01T16:00:00,vandalism,1,Downtown
12.934095006597262,77.60127562739187,2025-02-14T04:00:00,vandalism,1,Downtown
12.941263340749426,77.60925990325396,2025-02-17T11:00:00,theft,1,Downtown
12.915351973009761,77.62043112267328,2025-03-28T01:00:00,assault,3,Downtown
12.947851485878072,77.59871973415034,2025-06-17T06:00:00,vandalism,1,Downtown
12.91784485199145,77.6243956550877,2025-05-13T07:00:00,burglary,2,Downtown
12.921778749790974,77.61545416433609,2025-03-18T17:00:00,robbery,3,Downtown
12.939549715390205,77.59453303226637,2025-06-21T11:00:00,burglary,2,Downtown
12.9355367044034,77.60223282949681,2025-04-26T14:00:00,burglary,1,Downtown
12.938489656356335,77.60146228426788,2025-03-13T11:00:00,theft,1,Downtown
12.916820000685545,77.61955265158451,2025-05-11T04:00:00,theft,3,Downtown
12.92249436920604,77.62083971065547,2025-06-22T14:00:00,burglary,1,Downtown
12.932542893326689,77.60144786034614,2025-03-12T02:00:00,robbery,1,Downtown
12.942491485793026,77.59540024299619,2025-01-05T20:00:00,theft,1,Downtown
12.936372112772878,77.60899622623505,2025-04-29T17:00:00,theft,1,Downtown
12.933131346374488,77.61729095872501,2025-05-20T07:00:00,assault,2,Downtown
12.928333936442701,77.61351002760397,2025-05-12T03:00:00,assault,1,Downtown
12.940805911882343,77.59572021792837,2025-05-10T22:00:00,theft,2,Downtown
12.93956799656127,77.6136777678166,2025-04-14T07:00:00,robbery,1,Downtown
12.935232272477961,77.59853286673932,2025-04-29T17:00:00,theft,1,Downtown
12.923963741205789,77.61498757313294,2025-02-26T04:00:00,burglary,2,Downtown
12.925879487217058,77.61351392199016,2025-05-28T18:00:00,robbery,2,Downtown
12.9130214576007,77.62187367577081,2025-04-25T02:00:00,robbery,2,Downtown
12.94181607759184,77.60515152638763,2025-04-12T20:00:00,theft,1,Downtown
12.933368717536375,77.6075730645935,2025-05-01T16:00:00,burglary,1,Downtown
12.940541599771162,77.59373687997454,2025-01-26T16:00:00,assault,2,Downtown
12.945129906200759,77.59002702556423,2025-01-31T08:00:00,robbery,1,Downtown
12.934672400369593,77.59255326056996,2025-04-27T02:00:00,vandalism,1,Downtown
12.936059983596943,77.59281638679478,2025-06-22T04:00:00,theft,2,Downtown
12.926239565282046,77.62472315757056,2025-06-14T16:00:00,assault,2,Downtown
12.943976552790165,77.59788855783437,2025-01-17T11:00:00,vandalism,2,Downtown
12.939342247521802,77.60852874251363,2025-05-30T01:00:00,burglary,1,Downtown
12.913401781004017,77.61768505656708,2025-06-01T12:00:00,robbery,2,Downtown
12.943078776733099,77.60869968419377,2025-05-18T06:00:00,theft,2,Downtown
12.938456993258725,77.61368095713257,2025-02-09T17:00:00,burglary,1,Downtown
12.921008280446957,77.62579360945496,2025-05-05T17:00:00,robbery,1,Downtown
12.937114806030547,77.6098799804184,2025-02-27T20:00:00,theft,2,Downtown
12.912808094766111,77.61531524210173,2025-03-18T03:00:00,theft,1,Downtown
